,COUNTRY,YEAR,GDP,OLD,OBESITY,DOC,PRICE,HCE
Turkey_2018,Turkey,2018,28300,8.6,31.92,1.9,17,4.1
Turkey_2019,Turkey,2019,28461,8.9,32.26,2,17,4.4
Turkey_2020,Turkey,2020,28680,9.3,32.6,2.1,18,4.6
Turkey_2021,Turkey,2021,31638,9.6,32.95,2.2,18,4.6
Turkey_2022,Turkey,2022,38355,9.8,33.3,2.3,14,4.3
United Kingdom_2010,United Kingdom,2010,36452,16.4,24.3,2.6,105,9.7
United Kingdom_2011,United Kingdom,2011,37182,16.5,24.55,2.7,105,9.7
United Kingdom_2012,United Kingdom,2012,38311,17,24.77,2.7,105,9.8
United Kingdom_2013,United Kingdom,2013,39927,17.4,24.97,2.7,105,9.9
United Kingdom_2014,United Kingdom,2014,41240,17.7,25.16,2.7,105,9.9
United Kingdom_2015,United Kingdom,2015,42456,17.8,25.36,2.8,105,9.8
United Kingdom_2016,United Kingdom,2016,44031,18,25.56,2.8,105,9.7
United Kingdom_2017,United Kingdom,2017,46027,18.2,25.77,2.8,105,9.6
United Kingdom_2018,United Kingdom,2018,47077,18.3,25.97,2.8,105,9.7
United Kingdom_2019,United Kingdom,2019,49918,18.5,26.17,3,105,10
United Kingdom_2020,United Kingdom,2020,48026,18.6,26.38,3,95,12.2
United Kingdom_2021,United Kingdom,2021,52726,18.7,26.6,3,111,12.4
United Kingdom_2022,United Kingdom,2022,56749,18.9,26.82,3,109,11.3
United States_2010,United States,2010,48570,13.1,35.84,2.4,146,16.2
United States_2011,United States,2011,49952,13.3,36.41,2.4,146,16.1
United States_2012,United States,2012,51645,13.7,36.93,2.5,146,16.1
United States_2013,United States,2013,53235,14.1,37.44,2.5,146,16
United States_2014,United States,2014,55094,14.5,37.94,2.5,146,16.2
United States_2015,United States,2015,56797,14.9,38.45,2.6,146,16.5
United States_2016,United States,2016,57931,15.2,38.96,2.6,146,16.8
United States_2017,United States,2017,60002,15.6,39.47,2.6,146,16.8
United States_2018,United States,2018,62825,16,39.97,2.6,146,16.6
United States_2019,United States,2019,65115,16.5,40.46,3.2,146,16.7
United States_2020,United States,2020,64265,16.5,40.97,3.2,143,18.8
United States_2021,United States,2021,70988,16.9,41.48,3.2,143,17.4
United States_2022,United States,2022,77178,17.3,41.99,3.2,153,16.6
